name,tier,rarity,type,piercing-damage,impact-damage,energy-damage,weight,slug,desc
Varangian's Guard,3,epic,Armor,0.54,14.27,3.72,8.05 kg,varangians-guard,The Varangian Guard offer negotiable security for those visiting the station. Bodyguards require the best in protective gear in order to earn their credits by keeping their clients as undamaged as possible.
Lightly Padded Coat,1,uncommon,Armor,0,3.24,0,3.50 kg,lightly-padded-coat,A warm coat with a moderate amount of padding.
Reinforced Blast Vest,2,common,Armor,8.04,0,0,9.50 kg,reinforced-blast-vest,"Padded and lined with trauma plates made from extremely dense plastic, this vest offer protection against everything from frags to projectiles."
Defender Suit: HWT Range,4,epic,Armor,22.32,0,3,7.53 kg,defender-suit-hwt-range,"One of HWT's higher-end products, this versatile suit is usually only seen on very successful mercenaries, or elite military personnel."
Elite Diffusion Suit,3,uncommon,Armor,0,6.66,9.56,6.80 kg,elite-diffusion-suit,Flexible anti-energy panels on a form fitting suit of leather make this suit ideal for missions that require dexterity and ease of movement.
Scorched Electrician's Suit,1,common,Armor,0,0,1.35,2.60 kg,scorched-electricians-suit,A repurposed but serviceable electrical engineer's garb. Reinforced metal rivets provide a decent protection while two diffusion rods on the back of this vest serve to redirect electrical attacks.
Heavy Riot Gear,3,rare,Armor,10.54,0,6.37,12.60 kg,heavy-riot-gear,"Molotov cocktails, hurled chunks of regocrete, and nail studded bats have nothing on this set of heavy riot gear. From the full face mask to the steel-toed boots, you can feel safe and secure against uppity crowds and anarchists."
Medium Riot Gear,2,uncommon,Armor,9.46,0,0,9.00 kg,medium-riot-gear,"When protesters start to get a bit ornery, or bar fights tend toward the more rowdy, many turn to this medium weight riot gear."
Armure Bodysuit,5,epic,Armor,4.79,25.14,0,5.87 kg,armure-bodysuit,"A reliable body suit, often favoured by Armure Security Group mercenaries."
Danger Digs: Sapphire Line,4,common,Armor,1.64,14.71,1.65,2.33 kg,danger-digs-sapphire-line,HWT Corporate branded the Danger Digs series to target the apparent demographic of mercenaries who seek both style and protection. The Ruby line prioritizes countering impact damage in a flattering shade of blue!
Hard Shelled Combat Suit,3,common,Armor,7.93,0,5.31,12.00 kg,hard-shelled-combat-suit,A full body suit that completely encompasses the wearer. The anti-energy plastic shells of this suit are bolted down to a thick leather backing.
Chitinous Cuirass,2,uncommon,Armor,0,0,9.51,9.60 kg,chitinous-cuirass,"A hard shell armor designed, a long time ago, to resemble the hard carapace of a beetle."
Anti-Energy Harness,2,epic,Armor,0.16,0,12.29,4.65 kg,anti-energy-harness,"This unusual harness generates a defensive field around its wearer, disrupting the efficacy of particle and beam-based weapons."
Forest Walker Armor,3,uncommon,Armor,6.29,9.98,0,7.70 kg,forest-walker-armor,"Overlapping dark green leather pieces, shaped like the oak leaves of ancient Earth,  with tiered pauldrons and metal studs, that are both decorative and protective, make up this elegant, yet effective, set of armor."
Burnished Scale Mail,1,uncommon,Armor,3.38,0,0,6.50 kg,burnished-scale-mail,"Overlapping rusted metal discs, made from hammering down bits of metal, give this vest the appearance of fish scales."
Danger Digs: Baby Blue Line,4,uncommon,Armor,7.05,3.13,11.3,4.52 kg,danger-digs-baby-blue-line,HWT Corporate branded the Danger Digs series to target the apparent demographic of mercenaries who seek both style and protection. The Ruby line prioritizes countering impact damage in a flattering shade of powder blue!
Light Liquid Armor Suit,2,common,Armor,0,6.4,0,3.30 kg,light-liquid-armor-suit,"A suit of heavy fabric, consisting of a multitude of pockets which are filled with magnetorheological fluids that turn from liquid to solid when struck."
Shabby Uniform,1,common,Armor,0,1.59,0,3.20 kg,shabby-uniform,"Some company at some point in history made all of its dock workers wear this uncomfortable, scratchy, and overly warm uniform. Its previous owner clearly tried to get rid of it so they'd never have to see it again."
Elite P3 Piercing Suit,3,rare,Armor,10.2,6.6,0,11.00 kg,elite-p3-piercing-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. Lightweight, flexible metal plates on this suit provide increased protection against piercing, while allowing for ease of movement."
Thick Plate Armor,2,common,Armor,2.68,5,0,9.00 kg,thick-plate-armor,A heavily quilted suit with thick pieces of armor attached to it.
Scrap Armor,5,epic,Armor,19.11,3.2,7.75,3.70 kg,scrap-armor,Metal armor patched together out of scavenged wire and scraps of metal.
Anubis Armor,3,rare,Armor,0,0,10.99,10.50 kg,anubis-armor,"Back-lit plates of blue and silver cover the wearer from head to toe, culminating in a helmet in the shape of a jackal, with a mane of black hair running in a mohawk from temple to mid-back."
Musty Leather Robes,1,common,Armor,0,1.94,0,3.00 kg,musty-leather-robes,"A form-fitting robe of thin leather, this used Moemedi Medical uniform is long in the front and in the back, but cut up the sides of the legs for ease of movement. It was apparently packed away somewhere for a very long time."
LCVG-X16a,2,common,Armor,2.83,0,3.45,3.50 kg,lcvg-x16a,"This Liquid Cooling and Ventilation Garment  (X16a series) is form fitting and stretchy. Multiple tubes arc around the bodysuit, waiting to be connected to the inside of a spacesuit."
Absorber Series Flak Jacket,5,common,Armor,2.01,6.75,18.21,3.10 kg,absorber-series-flak-jacket,For the scientist on the go who seeks both protection and style! The Absorber Series from Ajax Arms and Armors is designed to provide extra durability in the face of hostility via various types of energy.
Ranger Vest,2,epic,Armor,0,2.73,13.11,7.11 kg,ranger-vest,The Ranger Vest handles energy and balistic rounds reasonably well. Just don't let a blade anywhere near it.
Dō-maru,3,uncommon,Armor,9.33,6.17,0,14.00 kg,do-maru,"A breastplate made from scales of black metal, bound together by red woven cords. Additional skirt panels protect the upper thighs."
Discordian Heavy Flak Armor,3,common,Armor,12.61,0.33,0.9,8.07 kg,discordian-heavy-flak-armor,"The Apples of Discord are a fairly lawless group of stations. As such, those in charge of maintaining some semblance of peace, or at least discouraging any hostilities past a certain healthy threshold, need hefty protections."
Scrolled Leather Suit,3,uncommon,Armor,5.92,9.42,0,5.60 kg,scrolled-leather-suit,"A 3D printed suit of thick leather, with detailed filigree and scroll work. Celtic knot work, swirls, and stylized dogs make up intricate designs, all of which are backlit by a soft, glowing green light."
Dented Dual Layer Vest,1,uncommon,Armor,1.33,0,2.08,5.70 kg,dented-dual-layer-vest,Dented plastic plates have been bolted onto thick pieces of fluorocarbon fiber cloth in order to make this uncomfortable jumpsuit.
Anti-Energy Work Suit,1,rare,Armor,0,0,4.46,8.00 kg,anti-energy-work-suit,"A heavy garment with reinforced elbows and knees, and velcro to help with easy on and easy off."
Lightning Armor,2,common,Armor,0,0,7.9,8.50 kg,lightning-armor,"This set of armor has been 3D printed in diffusion plastics of silver and blue, designed to look like metal, but with anti-energy capability and the lightness of plastics."
Light Anti-Energy Scale Mail,1,epic,Armor,0,0,6.36,6.50 kg,light-anti-energy-scale-mail,Thin scales of anti-energy plastics attached to a titanium chain mail suit make up this vest.
Padded PVC Catsuit,1,rare,Armor,0,2.73,2.06,4.20 kg,padded-pvc-catsuit,"This catsuit has had padding added to the inside of it, stretching the material to almost bursting in some areas. The stitching is sloppy and doesn't match the shiny black material."
Stealth-Step of Shadow,3,epic,Armor,0,6.8,11.8,3.50 kg,stealth-step-of-shadow,"Sleek and quiet, this armor provides the user with the stealthy security of sneakiness. The lightweight filament weave creates the illusion of blending into the darkest parts of any station. A favorite of the citizen Shadow."
Torn Jumpsuit,1,common,Armor,0,0,1.07,2.70 kg,torn-jumpsuit,This thin jumpsuit covers the wearer from neck to ankle. Except in the places where its torn. Which is most of the places.
Lightly Padded Reflective Suit,2,common,Armor,0,2.11,3.6,4.00 kg,lightly-padded-reflective-suit,Someone took what seems to be a disco outfit and added battening to the back of it for more protection.
Discordian Flak Armor,3,common,Armor,12.05,0,0.27,3.42 kg,discordian-flak-armor,"The Apples of Discord are a fairly lawless group of stations. As such, those in charge of maintaining some semblance of peace, or at least discouraging any hostilities past a certain healthy threshold, need hefty protections."
Rusted Pipe Mail,1,rare,Armor,3.33,2.09,0,7.00 kg,rusted-pipe-mail,"A cuirass made from small hoops of rusted, sliced pipe, held together with metal wire."
Light Nano-Suit,3,common,Armor,5.44,0,8.62,7.50 kg,light-nano-suit,"Covering the wearer from head to toe, this nano-suit diffuses energy attack and is able to turn aside a thrusting blade."
Devil Skin,3,epic,Armor,3.4,17.11,0,10.21 kg,devil-skin,"A composite vest, named after the once-infamous gang of Ruins Rats who favored this model for a while."
Scuffed Riding Suit,1,common,Armor,0,0.98,0,2.00 kg,scuffed-riding-suit,"The elbows and knees of this suit took the brunt of someone's damage once, as they tumbled from their hoverbike. Given the tears and holes on one of the suit's legs, it's questionable as to whether they walked away from the crash."
Reinforced Vest,1,common,Armor,0,0,1.66,4.20 kg,reinforced-vest,A vest with sheets of poly-rubber sewn onto the front and back of it. Frequently worn by Moemedi Medical personnel while working as emergency medics.
Storm Armor,1,common,Armor,0.1,0.25,0.25,6.00 kg,storm-armor,"Made from insulated bioplastic, this lightweight armor is designed to lessen melee and energy damage."
Ringed Poly-vinyl Jacket,1,rare,Armor,2.54,0,2.73,6.50 kg,ringed-poly-vinyl-jacket,The hard plastic rings that have been sewn to the outside of this jacket are small enough to keep broad blades from being able to pass through. Many are cracked and a few are missing.
Bar Brawler's Blouse,1,epic,Armor,6.66,1.05,0.11,2.71 kg,bar-brawlers-blouse,An easy-to-wear underlayer that will at least slow most blades.
P3 Impact Suit,2,common,Armor,0,8.13,0,9.80 kg,p3-impact-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. This suit's thick leather with heavy cloth backing offers additional impact protection."
Gladiator Gear,3,uncommon,Armor,6.67,8.93,0,7.80 kg,gladiator-gear,"Thick pieces of leather form a left shoulder pauldron, chest piece, and a skirt made from long studded strips."
Padded Combat Suit,1,common,Armor,0,0.54,0,2.80 kg,padded-combat-suit,"A hand stitched suit made from rags, stuffed between two thickly woven pieces of fabric. Yellowed with age, and moth-eaten, this bug infested armor guarantees that the wearer will never be alone again."
Freebooter Rave Suit,2,epic,Armor,12.51,1.38,0.66,8.01 kg,freebooter-rave-suit,"A brightly-colored body suit, often worn to the raucous raves that sometimes follow a lucrative Freebooter raid: just in case revelries get out of hand."
Stiff Hard-Shelled Combat Suit,2,common,Armor,2.51,0,4.1,10.00 kg,stiff-hard-shelled-combat-suit,"Stiff, rigid, and difficult to move in, the hard anti-energy plastic shells of this suit are held in place by worn leather straps."
Leather Armor,1,uncommon,Armor,0,3.97,0,6.50 kg,leather-armor,"A set of armor made from low quality leather that covers chest, back, legs and parts of the arm."
Hooded Strix Armor,3,rare,Armor,0,10.13,6.7,7.80 kg,hooded-strix-armor,"Every item of this armor set is made from strips of leather, crisscrossing, plaited, and braided to form pants, chest piece with full sleeves, and even gloves. A heavy leather cloak with a built in mask complete the set, the hood and mask of the cloak giving the wearer the appearance of an owl."
Light Plate Armor,1,uncommon,Armor,3.98,0,0,9.50 kg,light-plate-armor,"Small pieces of metal plating, with long straps to secure the upper body."
Star Dancer,2,epic,Armor,4,5,4,8.04 kg,star-dancer,This sleek garment is favored by independent ship captains with credits to spend. It protects its wearer from all manner of harsh conditions.
Kestrel Minority Field Vest,4,epic,Armor,0,14.1,11.99,10.66 kg,kestrel-minority-field-vest,"A high-performance field vest, specialized for ranged combat. Often worn by Kestrel Minority mercenaries."
Dented Composite Armor,1,rare,Armor,1.57,2.22,0.86,9.00 kg,dented-composite-armor,"Heavy and acrid smelling, this banded mail offers layers of protection, starting with thick cloth, upon which have been sewn pieces of leather, atop which have been bolted strips of metal."
Pipe Mail,1,common,Armor,0,0.15,0,6.00 kg,pipe-mail,A cuirass made from small hoops of sliced pipe held together with metal wire.
Wire Mesh,1,common,Armor,2.08,0,0,5.00 kg,wire-mesh,A thick shirt of handwoven wires. It takes a long time to make one but the materials are cheap and available everywhere.
Bullet Bouncer: HWT Range,4,epic,Armor,3.27,20.54,0.57,8.68 kg,bullet-bouncer-hwt-range,An anti-ballistic body suit with para-aramid plating. Small scratches are all that remain of the repelled rounds of the past.
Patchwork Bomber,1,rare,Armor,0,5.08,0,2.00 kg,patchwork-bomber,"This bomber jacket has had extra leather patches added on the chest and on the back, as well as on the elbows. However, the patches are all of different colors and thickness."
Marauder's Duds,3,epic,Armor,4.92,5.04,8.07,7.16 kg,marauders-duds,The very latest fashion for the enterprising pillager. Psychologically geared accessories encourage surrender and compatibility with most zero atmosphere suits enable easy boarding of a target vessel.
P3 Piercing Suit,2,common,Armor,8.82,0,0,9.50 kg,p3-piercing-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. Heavy metal plates on this suit provide increased protection against piercing."
Energy Vest: HWT Range,3,epic,Armor,2.15,0,18.32,6.17 kg,energy-vest-hwt-range,A sleek combat vest that protects against whatever energy weapon your foe may have acquired.
Studded Leather,2,common,Armor,0,7.83,0,6.50 kg,studded-leather,"Thick leather armor, riveted with close-fitting studs and spikes."
Medium Exo-Suit,3,common,Armor,9.03,5.26,0,14.00 kg,medium-exo-suit,"A full body, hard shell suit that the wearer must step into, this medium weight exo-suit sacrifices speed for heavy armoring."
Ionic Armor,3,uncommon,Armor,0,6.47,9.17,8.90 kg,ionic-armor,"Diffusion armor that energy attacks slide off of. This armor is made to look and feel like soft leather, but its diffusion materials give the wearer increased energy defense."
Unzippable Jumpsuit,1,common,Armor,0,0,2.44,2.70 kg,unzippable-jumpsuit,"Crisp and new as the day it was made, this jumpsuit apparently was cast aside when the owner discovered the zipper wouldn't stay up. The next owner sewed a clip at the top to hold it in place, but it still manages to slide down now and then."
Anti-Energy Jump Suit,1,uncommon,Armor,0,0,3.31,4.00 kg,anti-energy-jump-suit,"A form-fitting garment that covers the wearer from neck to toe, this jump suit shows a multitude of signs of wear and tear."
Wanderer’s Jumpsuit,4,epic,Armor,9.79,11.88,2.86,7.37 kg,wanderers-jumpsuit,A flexible jumpsuit designed with wearer comfort in mind. Offers supreme comfort and freedom of movement. Ideal for agility and hand-to-hand combat.
Tattered Trench Coat,1,common,Armor,0,1.07,0,5.40 kg,tattered-trench-coat,"Rife with holes and tears, the tattered hem of this trench coat barely reaches down to the knees, and the sleeves are of an uneven length."
Thorax Bodyarmor: Bash Buster Series,4,common,Armor,0.06,18.73,0,8.77 kg,thorax-bodyarmor-bash-buster-series,The Thorax series is aimed at professional combatants and bodyguarding units. The Bash Buster line is designed to absorb and diffuse a hefty portion of impact based damage.
PVC Pipe Suit,2,common,Armor,2.45,0,4.25,5.20 kg,pvc-pipe-suit,"Sliced PVC piping has been sewn to heavy canvas to create this suit. At one point, the piping was painted black, but it's since faded and is mostly a dull gray color."
Heavy Diffusion Armor,3,common,Armor,0,5.32,7.56,9.00 kg,heavy-diffusion-armor,"Hard shelled, anti-energy armor with a nylon backing and thick batting for comfort and breathability."
Heavy Thermoplastic Suit,2,epic,Armor,0,5.04,7.65,14.00 kg,heavy-thermoplastic-suit,Thick plates of thermoplastic are bolted onto heavy pieces of leather to form this suit of armor.
Heavy Explorer’s Coat,4,epic,Armor,10,5,9,7.68 kg,heavy-explorers-coat,A heavy explorer's coat adorned with few frills. Quite thick and provides excellent protection.
Anti-Energy Kataginu,2,uncommon,Armor,0,0,9.45,5.60 kg,anti-energy-kataginu,"A blue vest, with broad, wing-like shoulders. The kataginu's elegant shape allows for spontaneous swordplay and ease of combat."
Arc Dancer's Dress,2,common,Armor,0,0,7.03,1.80 kg,arc-dancers-dress,"This deep red dress has bell sleeves, a high collar, and a princess waist line. The material looks almost dull, as though light can't find a way to reflect from its surface."
Reinforced Jumpsuit,1,common,Armor,0,0.8,0,3.80 kg,reinforced-jumpsuit,"This cloth jumpsuit has been bolstered with strips of leather, many of which have rotted away or come loose, the latter giving the effect of tiny tentacles flapping about when the wearer moves."
Light Explorer’s Coat,4,epic,Armor,6,12,6,6.27 kg,light-explorers-coat,A lightweight explorer's coat with few frills.
The Powell,1,epic,Armor,3.41,3.4,0.25,3.40 kg,the-powell,"Out of the Black, the stars advanced. Out of the Black, little lights danced."
Hippocratic Vest,2,epic,Armor,2,2,9,5.07 kg,hippocratic-vest,"This vest’s original purpose was for war-time medics to provide care to soldiers in the field, but it has since been adopted by mercenaries."
Old Combat Suit,2,uncommon,Armor,3.04,3.92,2.21,5.50 kg,old-combat-suit,"Mass-produced, leather combat armor with thick padding, whose day has come and mostly gone."
The Shirt of Broken Rings,1,common,Armor,0.89,0,0,4.20 kg,the-shirt-of-broken-rings,"Small metal O-rings sewn onto the thick, moth eaten fabric of this shirt provide a modicum of additional protection. Sadly, many of the rings have rusted or are broken."
Arc Master's Suit,3,rare,Armor,0,0,11.23,7.80 kg,arc-masters-suit,"A full length body suit with an attached hood, this suit of anti-energy armor is covered in filigree and fine detail work."
Breathe Easy Series: Razorproof Model,5,common,Armor,22.28,4.02,0.11,9.64 kg,breathe-easy-series-razorproof-model,"There is little honor in being stabbed while on the job. Whether you are collecting samples in a decompressed part of the station or jury-rigging and air filtration unit in the bowels of a ventilation shaft, the Razorproof has your back safe from unsolicited stabbing!"
Enhanced Trench,1,rare,Armor,2.07,3.06,0,7.50 kg,enhanced-trench,"An old trench coat, to which someone has riveted metal plates and heavier leather pieces."
Reflectrix™,3,rare,Armor,0,0,11.16,11.50 kg,reflectrixtm,A proprietary armor system designed to offer powerful defense against energy weapons.
Gaule Thermojacket,2,epic,Armor,2,6,5,7.59 kg,gaule-thermojacket,"A favorite of the Gaule Military, this jacket can absorb heat and protect the wearer from burns and explosions of all sorts."
Medium Flak Jacket,2,common,Armor,3.06,4.49,0,8.50 kg,medium-flak-jacket,"Lined with plates of ballistic plastics this sleeveless vest  is a standard camouflage of black, gray, and brown, and has large pockets in the front."
Infiltrator X300 Nightshade Series,4,rare,Armor,2.45,4,16.07,2.83 kg,infiltrator-x300-nightshade-series,"Armor designed by the Yasutsuna Corps for some of their less than legitimate clientele, often those who make their business in hostile acquisitions."
Spidersilk Robes,2,common,Armor,0,7.22,0,2.00 kg,spidersilk-robes,"Deceptively soft to the touch, these robes are made from one of the strongest elements known to humankind. The plush black robes include a hood with a point that hangs nearly to the waist."
Worn Diffusion Armor,1,common,Armor,0,0,3.09,8.00 kg,worn-diffusion-armor,"This thick, non-conductive plastic shell chafes in uncomfortable places. The back piece is cracked and the buckles are rusted, but it's still mostly serviceable."
Stylish Jacket,5,epic,Armor,27.02,5.3,0,7.16 kg,stylish-jacket,"Style over substance, baby. This jacket makes you look good and does little else—until you're in combat."
Shisha Shirt,2,common,Armor,2.2,0,4.59,3.50 kg,shisha-shirt,A long tunic upon which small mirrors have been embroidered with threads of many colors.
The Robe of Rotten Embroidery,1,common,Armor,0,0.84,0,3.00 kg,the-robe-of-rotten-embroidery,"Small, delicate flowers, painstakingly sewn in by hand, travel around the neckline, hem, and cuffs of this tattered robe. The cycles have not been kind, and the blossoms have turned black and puce with rot and mold."
Worn Composite Armor,2,uncommon,Armor,3.34,4.02,2.48,5.60 kg,worn-composite-armor,"A mishmash of leather, cloth, and reflective PVC, this collection of armor pieces looks like it was scavenged and put together over the course of many cycles."
P3 Protection Suit,3,uncommon,Armor,0,6.27,9.66,9.00 kg,p3-protection-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations."
Mohan Jacket,3,epic,Armor,1,12,5,8.67 kg,mohan-jacket,A leather jacket modified with armor plating and gussets. It seems someone hand-stitched these changes for violence.
Light Repulsion Armor,3,rare,Armor,0,6.17,10.46,3.40 kg,light-repulsion-armor,Thin armor of repulsive fabrics that deflect energy attacks away from the wearer.
Ruins Rat Armor,1,epic,Armor,6,0,1,4.63 kg,ruins-rat-armor,A scrappy old model of armor out of Sinclair Armaments known for its popularity with the poor ruins-dwellers.
Poly-vinyl Coveralls,1,common,Armor,0,0,1.12,2.00 kg,poly-vinyl-coveralls,"A baggy suit of faded blue material, with burn marks on the left shoulder."
Whispering Robes,2,common,Armor,0,6.68,0,2.50 kg,whispering-robes,"The spidersilk of these robes makes a subtle swishing sound when the wearer moves, giving them their name."
Medium Scale Mail,2,common,Armor,6.09,0,0,8.50 kg,medium-scale-mail,Numerous octagonal discs make row upon row of scales that have been fastened to a backing of chain mail.
Misshapen Combat Vest,1,common,Armor,0,1.77,0,4.00 kg,misshapen-combat-vest,"The heavy batting of this combat vest has shifted and flattened over time, leaving certain areas lumpy and others baggy or sunken."
Ripped Electrician's Overalls,1,common,Armor,0,0,1.43,2.20 kg,ripped-electricians-overalls,These dark blue overalls have two thick shoulder straps and multiple pockets. A large tear in the seat of the pants provides the wearer with ventilation.
Heavy Scale Mail,2,epic,Armor,11.91,0,0,15.00 kg,heavy-scale-mail,"Thick flattened discs, hung like fish scales, make up this suit of armor. It's heavy and cumbersome and leaves a bit of a cramp in the wearer's neck."
Patelloida Plated Jacket,3,common,Armor,6.06,8.58,0,6.50 kg,patelloida-plated-jacket,This sturdy jacket is reinforced with vat-grown limpet teeth and heavy leather patches.
Light Flak Jacket,2,common,Armor,2.51,4.43,0,6.00 kg,light-flak-jacket,"A sleeveless vest with interior pockets, inside of which, metal plates have been set."
Thief's Second Skin,2,epic,Armor,11.49,2.06,0,3.17 kg,thiefs-second-skin,"Made of lightweight fabric, this garment offers some protection alongside totally unhindered movement. A favorite of the furtive."
Arc Dodger Suit,2,common,Armor,0,0,8.91,6.50 kg,arc-dodger-suit,This set of gear seems to have been scavenged over time to create a miss-matched set of anti-energy armor.
Thorax Bodyarmor: Blast Buster Series,4,common,Armor,0,0,18.7,10.48 kg,thorax-bodyarmor-blast-buster-series,The Thorax series is aimed at professional combatants and bodyguarding units. The Blast Buster line is designed to absorb and diffuse a hefty portion of energy based damage.
Spidersilk Stealth Suit,2,epic,Armor,0,7.88,4.7,2.00 kg,spidersilk-stealth-suit,"Skintight and black, this suit is made from enhanced spidersilk and has a top layer of fluorocarbon fiber cloth to help deflect energy attacks."
Worn Jumpsuit,2,common,Armor,2.21,0,3.52,2.30 kg,worn-jumpsuit,"Thinned at the elbows and knees, this jumpsuit is stretched out in the stomach area. A previous owner apparently really liked beer."
Worn Repulsion Armor,2,rare,Armor,0,0,5.38,5.60 kg,worn-repulsion-armor,Thin armor of repulsive fabrics that deflect energy attacks away from the wearer. This set has seen some use and is threadbare on the elbows.
Terracotta Armor,1,epic,Armor,6,1,0,5.15 kg,terracotta-armor,Thick brown armor meant to be worn in conjunction with a lighter piece beneath. The Terracotta Armor is thickly built to protect from short-range weapons and piercing damage.
Nomad’s Robes,4,epic,Armor,10,4,10,8.67 kg,nomads-robes,Straightforward leather jerkin and trousers. There is nothing flashy about these robes but they’re reliable.
Padded Overalls,1,rare,Armor,0,2.5,2.74,4.00 kg,padded-overalls,"Cumbersome and difficult to kneel in, these overalls are warm to wear and smell like mothballs."
Rumble Jacket,2,epic,Armor,4.02,5.45,4.64,4.05 kg,rumble-jacket,"Versatile gear for any fight, the rumble jacket offers protection without hindering mobility."
The Black Hole,5,uncommon,Armor,5.31,0,22.89,7.12 kg,the-black-hole,Top of the line production and sleek design come together to provide user protection and style! Polymer fabrics infused with energy diffusing nano-technology render the user relatively safe from unwarranted energy-based hostility.
Composite Armor,1,epic,Armor,0,6.67,0,5.50 kg,composite-armor,Heavy pieces of plastic with a leather backing make up this torso and upper leg piece of gear.
HoS Leather Jacket,2,common,Armor,0,6.18,0,5.50 kg,hos-leather-jacket,"This dark brown leather jacket has been covered in spikes and studs, and has the House of Spartacus logo of three broken chain links on the back of it."
Composite Dō,2,common,Armor,6.79,0,0,5.00 kg,composite-do,"A breastplate of metal, bound together with leather strips. A thin sheet of lacquer has been applied to the metal, though its mostly worn off."
Harold's Jacket,1,common,Armor,0,2.33,0,5.30 kg,harolds-jacket,A large name patch sewn over the right breast of this old leather jacket proclaims the wearer to be “Harold.”
Red Valboa Trench,2,common,Armor,0,8.64,0,3.50 kg,red-valboa-trench,"This incredibly soft jacket is made from lush, faux red fur. The sleeves are folded back at the wrist, displaying a white polka dotted trim of faux snow leopard fur, which matches the wide, spotted lapels."
Anti-Ballistic Harness,1,epic,Armor,0.19,6.13,0.45,4.09 kg,anti-ballistic-harness,"A somewhat experiemental piece of kit, this harness generates a magnetic field which disrupts traditional ordnance."
Blooded Chrome Battle Armor,4,uncommon,Armor,4.33,11.08,6.21,8.48 kg,blooded-chrome-battle-armor,Top tier bodyguard units such as the Kestrel Minority are known to favor the Blooded Chrome line for its wide range of protections and high quality. The sleek look and blood red veneer is likely also a factor.
Light P3 Piercing Suit,3,common,Armor,7.6,0,5.04,8.79 kg,light-p3-piercing-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. Thin metal plates on this suit provide increased protection against piercing."
Cracked Bodysuit,1,common,Armor,0,0.97,0,3.00 kg,cracked-bodysuit,"Cracks and deep wrinkles are crisscrossed with jagged scratches, and in places, a ripped hole or three. A dank stench of must wafts up from this suit with every creaking step."
Worn Work Suit,1,common,Armor,0,0,2.7,3.20 kg,worn-work-suit,A one-piece outfit that zips up the front and covers the majority of the body. The fabric is thin in places and the elbows and knees have had patches sewn over them.
Reinforced Hitatare,2,common,Armor,0,5.68,0,4.50 kg,reinforced-hitatare,"A long sleeved jacket and matching close-fitting hakama pants, which have been reinforced with studded leather panels."
Discordian Dissuader's Nano-Kevlar,3,epic,Armor,2.73,15.22,0.45,8.97 kg,discordian-dissuaders-nano-kevlar,The Dissuaders are what passes for security on the Apples of Discord. Their heavy handed tactics sometimes result in open warfare on the streets. Their high quality armors are a reflection of this.
P3 Energy Suit,2,common,Armor,0,0,8.59,8.50 kg,p3-energy-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. This suit boasts energy deflection panels."
Werebeast Armor,3,epic,Armor,6,2,10,3.47 kg,werebeast-armor,Versatile armor with removable plating to allow its wearer the ability to quickly strip down and blend into a crowd.
Arc Absorption Cloak,2,common,Armor,0,0,8.13,2.70 kg,arc-absorption-cloak,"Long and black, lined in red, with a deep hood. Photons bounce off of this insulated bioplastic cloak, which covers the wearer from head to toe."
Shrike Armor,3,common,Armor,10.37,0,4.93,13.50 kg,shrike-armor,"This imposing suit of armor is sleek and black like onyx, and is covered from head to toe in wickedly sharp spikes. A cowl at the neck of long black feathers turns into a full cloak of feathers atop flowing spidersilk."
G21 Armor System,3,rare,Armor,0,0,11.14,13.00 kg,g21-armor-system,"Made from premium fabrics, ceramics and carbon composites, the G21 Armor System provides full body combat coverage at the cost of mobility."
Putrid Plate Mail,1,common,Armor,0,1.79,0,8.00 kg,putrid-plate-mail,"Given the smell, you are pretty sure that you do not want to know where this chest piece has been."
Yōkai Cloak,3,rare,Armor,0,11.04,0,2.60 kg,yokai-cloak,"A cloak made from thin, gauzy material of unknown substance. It has an almost ethereal quality about it, and seems to bend the light around the wearer."
Medium Kinetic Vest,3,common,Armor,5.39,7.56,0,7.75 kg,medium-kinetic-vest,Flexible metal over a supple leather vest allow for freedom of movement while still offering protection.
Ruined Robe,1,common,Armor,0,2.09,0,3.20 kg,ruined-robe,"Thin and worn at the elbows, with unraveled strings and fallen hems, this robe has seen better days."
Ruins Rat's Pyjama,1,epic,Armor,5.26,1.47,0.17,1.73 kg,ruins-rats-pyjama,This disparagingly nick-named body suit doesn't offer a great deal of protection against serious weapons.
Aurorahunter,3,epic,Armor,12,3,3,6.31 kg,aurorahunter,A light-weight yet very protective garment favored by bounty hunters and mercenaries.
Amber Aegis: BD31,2,epic,Armor,11.75,0.53,0,8.11 kg,amber-aegis-bd31,"Representing the highest pinnacle of Ajax tactical research and development, this armor utilizes a multiple layered lattice of nano-protective technology. The sleek BD31 is favored by Benevolent Dynamics field researchers."
Arc Jumper Jacket,2,common,Armor,0,0,7.01,3.50 kg,arc-jumper-jacket,"A jacket made from fluorocarbon fibers, and reinforced at the chest and back with thick black leather."
Ringed Leather Jacket,3,common,Armor,5.6,9.08,0,5.60 kg,ringed-leather-jacket,"Metal rings have been sewn onto this heavy leather jacket, in hopes of deterring a bladed attack. Each shoulder boasts a 3D printed, human skull with long fangs."
