name,tier,rarity,type,range,hand-to-hand,weapon_type,piercing-damage,impact-damage,energy-damage,accuracy,weight,slug,desc
Mama's Pride,1,uncommon,Weapon,Long,No,Shotgun,0,3.78,0,0.026,3.00 kg,mamas-pride,"Kicks like a cargo ship and is twice as bulky, this shotgun is loud, proud, and mean."
Bell-Bowl Club,2,common,Weapon,Short,Yes,Club,0,0,5.53,0.184,1.45 kg,bell-bowl-club,A stack of bone bowls have been fused together and crafted to swing with a nickel handle. Someone has outfitted the rims of the bowls with a thin filament capable of inflicting energy damage.
Freebooter's Chimeric Rifle,4,common,Weapon,Long,No,Rifle,0,17.12,0.37,0.07,1.93 kg,freebooters-chimeric-rifle,"A slapdash firearm fashioned from a collection of parts from many different guns, no doubt, the only parts that still worked. Surprisingly effective!"
PVP Pipe,1,common,Weapon,Short,Yes,Club,0,1.34,0,0.012,1.40 kg,pvp-pipe,"Just a basic, sad little pipe."
Battery-Rigged Short Plank,1,common,Weapon,Short,Yes,Club,0,0,1.32,0.5,1.04 kg,battery-rigged-short-plank,"When merely beating down your adversary just won’t do, put a charge in it."
Simple Student’s Katana,1,common,Weapon,Short,Yes,Blade,2.49,0,0,0.017,2.50 kg,simple-students-katana,"A basic, yet elegant sword forged for use by the young student."
GX37 All Round Short Barrel Blaster,4,epic,Weapon,Short,No,Short Barrel Rifle,0.1,3.4,21.9,0.42,3.31 kg,gx37-all-round-short-barrel-blaster,"Hephaestus Weapons Tech's range of special ordinance firearms that include armor piercing rounds that, in the words of their marketing department, ""both sizzle and pop."""
Charged Tonfa,2,uncommon,Weapon,Short,Yes,Club,0,0,9.74,0.152,1.90 kg,charged-tonfa,Tonfa favored by both the security forces and the prison guards of Cirque Centauri. These tonfa are equipped with an electric charge stun function.
Needler Class Tactical Shotgun,2,epic,Weapon,Long,No,Shotgun,10.65,2.52,0,0.58,5.69 kg,needler-class-tactical-shotgun,"A weapon designed by House of Spartacus weapons marketing divisions and aimed at elite clientele. Even the deadly, armor piercing ordnance, for some reason, has been dyed a sleek and pleasant purple color."
Black Piercer: Blaster Rifle Series,3,rare,Weapon,Long,No,Rifle,5.44,5.44,5.44,0.27,1.96 kg,black-piercer-blaster-rifle-series,A fairly common weapon among the Freebooters of the Apples of Discord. This rifle is designed with explosive ordnance.
Ka-Bar,1,common,Weapon,Short,Yes,Blade,2.75,0,0,0.1,0.45 kg,ka-bar,A simple but versatile Gaule knife well-suited to both utility and combat.
Pirate's Penance Long Range Blaster,3,common,Weapon,Long,No,Sniper Rifle,0,0,12.58,0.38,4.48 kg,pirates-penance-long-range-blaster,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Interconnected Steel Rings,1,common,Weapon,Short,Yes,Club,0,0,3,0.021,2.72 kg,interconnected-steel-rings,"It seems to be a part of a system to hold pipes in place. It also seems to double as a handy set of knuckles. Emits a low-grade charge on the outer edges, probably to deter pests from the pipes."
Pocket – Pincher,2,uncommon,Weapon,Short,Yes,Blade,9.36,0,0,0.139,0.13 kg,pocket-pincher,The name is given to the small daggers used to prey on the purses of tourists.
Trusty Hand,2,uncommon,Weapon,Long,No,Rifle,0,9.76,0,0.178,2.80 kg,trusty-field-hand,A basic and indiscreet rifle mainly used to keep intruders away.
SAG Stun Baton,3,rare,Weapon,Short,Yes,Club,0,0,10.59,0.222,1.30 kg,sag-stun-baton,A stun baton favored by the Gaule Protectorate SAG operatives.
Knuckles-the-Clown,2,rare,Weapon,Short,Yes,Club,0,0,10.41,0.186,0.99 kg,knuckles-the-clown,A common self-defense knuckle weapon found among the cirquefolk of Cirque Centauri. Equipped with a stun charge on each knuckle.
SorrowC1,2,epic,Weapon,Short,No,Handgun,0,11.62,0,0.221,1.18 kg,sorrowc1,This energy charged handgun is commonly used by DZ operatives.
Citrine Enhanced Multitool,5,epic,Weapon,Short,Yes,Blade,34.55,0,0,0.9,3.89 kg,citrine-enhanced-multitool,"Believed to be a Freebooter invention of the highest caliber, this weapon made from spare multitools now contains a chainsaw sure to tear through foe's defenses. The yellow color was enhanced by its creator, and some of its green dials are purely ornamental."
Gamma Charged Gauss,3,epic,Weapon,Long,No,Rifle,6.26,6.15,6.17,0.51,3.48 kg,gamma-charged-gauss,"A very crude but effective energy blaster developed by Scientist Schismatics during one of their many skirmishes. Competition can be fierce, and occasionally deadly among the scientific community on Heinlein Stronghold."
Black Piercer: Rifle Series,3,rare,Weapon,Long,No,Rifle,16.36,0,0,0.09,5.30 kg,black-piercer-rifle-series,A fairly common weapon among the Freebooters of the Apples of Discord. This rifle is designed with armor piercing capabilities.
Spark Charge,1,common,Weapon,Long,No,Shotgun,0,0,1.4,0.019,3.40 kg,spark-charge,"A newer version of a recruit’s training shotgun, this weapon is sometimes faulty."
Shock Knuckles,1,uncommon,Weapon,Short,Yes,Club,0,0,3.73,0.147,0.15 kg,shock-knuckles,Hand-to-hand combat weapon with a stun feature.
Time-Worn Stun Baton,1,uncommon,Weapon,Short,Yes,Club,0,0,4.12,0.028,0.45 kg,time-worn-stun-baton,A stun baton found on Daedalus. Likely predates the Promethean Sect’s occupation of the station. Seems to be a primitive form of the batons used by modern Consortium officers.
Sapphire Cutlass,4,epic,Weapon,Short,Yes,Blade,0,0,28.04,0.77,3.32 kg,sapphire-cutlass,"This oddly-proportioned weapon often takes enemies by surprise. When swung, the blade is a blue blur, decimating enemies left and right."
GX65 Rifle: Edge Edition,4,common,Weapon,Long,No,Rifle,0.6,2.11,17.88,0.53,4.78 kg,gx65-rifle-edge-edition,The GX65 line is the Yasutsuna Corps foray into situational strategy firearms. Each type of weapon designed to appeal to a specific type of combatant.
GX37 All Round Assault Rifle,3,epic,Weapon,Long,No,Rifle,16.41,1.68,1.88,0.29,1.80 kg,gx37-all-round-assault-rifle,"Hephaestus Weapons Tech's range of special ordinance firearms that include armor piercing rounds that, in the words of their marketing department, ""both sizzle and pop."""
Burnished Shotgun,4,epic,Weapon,Long,No,Shotgun,0.6,26.95,0,0.27,12.02 kg,burnished-shotgun,"A shotgun of surprisingly good quality, considering the source."
Tight Bundle of Wires,1,common,Weapon,Short,Yes,Club,0,1.4,0,0.5,3.17 kg,tight-bundle-of-wires,"Woven into a singular unit of prime bludgeoning, these discarded wires swing with authority"
Fawnskipper,3,epic,Weapon,Short,Yes,Blade,11,4,4,0.167,1.70 kg,fawnskipper,"This sneaky devil can be found tucked in the clothes of anyone expecting trouble. It’s a simple, light blade, but bitingly sharp and impeccably balanced for ease of use."
Basic Tactical Blade,1,uncommon,Weapon,Short,Yes,Blade,1.01,0,2.5,0.083,0.27 kg,basic-tactical-blade,"This sharp side-blade is a favorite among the Gaule military. From recruit to Consul, tactical blades are cherished."
Schismatic Omniblade,3,common,Weapon,Short,Yes,Blade,4.25,4.27,4.31,0.55,1.58 kg,schismatic-omniblade,"Originally developed by the Scientist Schismatics of Heinlein Stronghold as an energy based all use cutting tool. Since then, some folks have found other uses for it."
Serrated Battle Shiv,3,uncommon,Weapon,Short,Yes,Blade,14.85,0,0,0.38,3.79 kg,serrated-battle-shiv,"No pomp or frill, this blade was printed to cut, and cut hard."
Docking Anchor,2,common,Weapon,Short,Yes,Club,0,1.93,4.74,0.021,4.50 kg,docking-anchor,The heavy lock for anchoring docked shuttles. An electric outlet on the end has short-circuited and sparks wildly.
Sparking Knuckledusters,4,common,Weapon,Short,Yes,Club,0,14.94,3.73,0.22,5.73 kg,sparking-knuckledusters,"Adding injury to injury, someone has jury-rigged a number of energy emitters to this already painful looking fist weapon."
Serval Claws,1,epic,Weapon,Short,Yes,Blade,9.99,0,0,0.35,1.19 kg,serval-claws,"Easy to wield but deadly in combat, the weapon's four long spikes will leave any opponent reeling. Inspired by the retractable claws of an Old Earth feline."
Jade Tactical Shotgun: Mark II,5,uncommon,Weapon,Long,No,Shotgun,19.52,7.75,0,0.27,2.93 kg,jade-tactical-shotgun-mark-ii,A sleek and verdant colored anti-personnel shotgun designed by the Yasutsuna Corp and branded towards station militia and bodyguard organizations.  A slight improvement over the original design.
Slicer Pistol,1,common,Weapon,Short,No,Handgun,2,1,0,0.03,1.10 kg,slicer-pistol,A pistol built around a slicer mechanism. Small magnetic rails fire chunks of metal cut off from a solid ammo core.
Tanegashima Kodachi,4,rare,Weapon,Short,Yes,Blade,22,0,0,0.45,0.39 kg,tanegashima-kodachi,"A short ceremonial dagger worn by Tanegashima Admiralty. Crafted using ancient blade-work techniques which remain a closely-guarded Tanegashima secret even today. This one bears the inscription 'Admiral I.K.' on the handle, underneath the logo of the fleet."
G-009E,1,uncommon,Weapon,Short,No,Short Barrel Rifle,0,0,4.1,0.097,2.30 kg,g-009e,"The energy modified version of the discontinued and outdated Gaule Protectorate short barrel rifle, G-009."
TravelerC88,2,common,Weapon,Long,No,Shotgun,0,7.68,0,0.083,3.10 kg,travelerc88,A compact tactical shotgun used by Consortium officers at Jump Gates.
DiplomatC28,1,common,Weapon,Long,No,Shotgun,0,0,1.05,0.007,3.00 kg,diplomatc28,"Similar to the TacticC11 shotgun model aside from the outfitted energy charge, this Consortium security weapon is often used by trainees."
Platinum Security Baton,2,common,Weapon,Short,Yes,Club,0,0,7.47,0.17,2.27 kg,platinum-security-baton,Consortium Security officers carry this Sol Jump Gate exclusive. May stun.
Ship Captain’s Cutlass,1,uncommon,Weapon,Short,Yes,Blade,4.01,0,0,0.116,1.30 kg,ship-captains-cutlass,A decent sword forged with the needs of a captain in mind.
Sunkissed Sapphire: Blaster Rifle Series,3,uncommon,Weapon,Long,No,Rifle,4.94,4.94,5.07,0.29,5.03 kg,sunkissed-sapphire-blaster-rifle-series,"A blaster rifle for the warrior poet. Gift your foes with a fiery hail of death from this sleek instrument of blessed mayhem, designed for your pleasure by the weaponsmiths of the Yasutsuna Corporation."
Strange Thing,2,common,Weapon,Short,Yes,Club,0,0,7.1,0.122,1.22 kg,strange-thing,This unusual thing features strange characters etched just beneath the high-shine outer-layer. It is dense and comprised of a shining black stone. Makes for a fine hand-club. The end emits a photon pulse on strike.
Shredder,1,common,Weapon,Long,No,Shotgun,0,3,0,0.01,7.00 kg,shredder,"A short, pump-action shotgun. What it lacks in accuracy it makes up for with damage."
Traveler's Maul,2,common,Weapon,Short,Yes,Club,0,0,7.9,0.121,1.04 kg,travelers-maul,"A crude weapon comprising of a truncheon-like body and a number of painful looking shanks and daggers driven through the head. It speaks to the primal desperation of the cornered traveler, meaning to cause pain without seeking to hide its intent!"
Filtration Pipe,1,rare,Weapon,Short,Yes,Club,0,4.74,0,0.051,1.30 kg,filtration-pipe,Piping once used as part of the phosphorus refinery of Daedalus. Discarded long ago.
Smuggler’s Knuckles,3,common,Weapon,Short,Yes,Club,0,0,11.49,0.125,0.90 kg,smugglers-knuckles,"Crude but effective, these knuckles deliver a shocking punch."
Standard Energy Frame,1,common,Weapon,Short,No,Handgun,0,0,2.32,0.059,0.74 kg,standard-energy-frame,This basic energy weapon is favored among entry-level adventurers and hooligans alike.
Sapphire Saw-gun,4,epic,Weapon,Short,No,Short Barrel Rifle,28.28,0,0,0.86,5.03 kg,sapphire-saw-gun,"The deadly combination of gun and saw blade is sure to find a way past opponents' defenses. As the blade tears through armor and metal alike, precision shots are fired through its lithe barrel."
X25 Burst Rifle,4,common,Weapon,Short,No,Short Barrel Rifle,0.3,0,19.77,0.19,1.60 kg,x25-burst-rifle,A short and deadly weapon that delivers its painful payload in short bursts of rapid fire.
NightC2,3,common,Weapon,Long,No,Shotgun,0,0,11.64,0.163,3.40 kg,nightc2,Consortium DZ agent tactical shotgun.
Jolttooth,2,common,Weapon,Short,No,Handgun,0,0,6.73,0.121,0.68 kg,jolttooth,This handgun is modified with electric charge capability.
Darkblazer Range Gauss Rifle,2,epic,Weapon,Long,No,Rifle,3.94,0.05,10.16,0.33,1.44 kg,darkblazer-range-gauss-rifle,A sleek weapon developed for covert ops that utilizes pheromagnetic projectiles to deliver a painful punch.
L33T Sniper Rifle,3,common,Weapon,Long,No,Sniper Rifle,4.45,4.46,4.47,0.29,14.06 kg,l33t-sniper-rifle,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
Unusual Stone Dagger,3,common,Weapon,Short,Yes,Blade,11.4,0,0,0.189,0.35 kg,unusual-stone-dagger,A razor sharp dagger with a shiny black stone hilt. The hilt is engraved with unusual characters.
Dur-Zip-Zap,3,rare,Weapon,Short,No,Handgun,0,0,10.95,0.219,0.71 kg,dur-zip-zap,"This tiny handgun might seem adorable, but its damage stats are no laughing matter."
Midnight’s Demise,2,epic,Weapon,Short,No,Handgun,0,15.91,0,0.44,0.85 kg,midnights-demise,"Easy to conceal and even easier to wield, this weapon easily finds use no matter the situation. When all else fails, covert night-time strikes are always a good option."
G-RPS4,2,uncommon,Weapon,Long,No,Rifle,0,9.01,0,0.145,3.10 kg,g-rps4,This rifle is often used in the training of the Gaule Protectorate riot soldiers.
Sharpened Shiv,2,common,Weapon,Short,Yes,Blade,6.86,0,0,0.13,0.30 kg,sharpened-shiv,A shiv that has been sharpened into a small cleaver-edge.
Bullet Burster Series Sniper Rifle,5,epic,Weapon,Long,No,Sniper Rifle,7.8,22.61,2.52,0.36,5.83 kg,bullet-burster-series-sniper-rifle,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Static Shot,2,rare,Weapon,Long,No,Shotgun,0,0,5.09,0.071,3.50 kg,static-shot,A simple shotgun recovered from the ruins. Hard to discern its age due to damage.
L33T Short Barrel Rifle,3,common,Weapon,Short,No,Short Barrel Rifle,4.18,4.16,4.21,0.34,4.75 kg,l33t-short-barrel-rifle,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
Rudimentary Baton,1,rare,Weapon,Short,Yes,Club,0,4.75,0,0.05,0.80 kg,rudimentary-baton,A basic baton used by security.
ALNA-MODEX,3,epic,Weapon,Long,No,Sniper Rifle,14,0,4,0.238,0.90 kg,alna-modex,"The pride of AJAX, the ALNA-MODEX is the one of the most popular sniper rifles on the market. Built with overwhelming power and precision, this sniper projects a distinctive orange glow before the slaughter."
Bone Shiv,1,uncommon,Weapon,Short,Yes,Blade,0.54,2.92,0,0.042,0.10 kg,bone-shiv,"This bone, sharpened to a deadly point at one end, holds the secrets of a life now forgotten. A crude handle is fashioned from torn and faded synthsilk."
Taungoo Brick,2,common,Weapon,Short,Yes,Club,0,0,6.12,0.161,3.50 kg,taungoo-brick,An improvised weapon made from manipulated battery pack attached to a chunk of ruin rubble as a handle. The ‘Brick’ is then wrapped in a small length of clothing or fabric recovered from the Taungoo Ruins. Said to curse those it strikes ‘with the sorrow of a million lost souls’.
Black Piercer: Combat Boomshot Deluxe,3,uncommon,Weapon,Long,No,Shotgun,7.54,7.52,0,0.57,2.32 kg,black-piercer-combat-boomshot-deluxe,"A fairly common weapon among the Freebooters of the Apples of Discord. This semi-automatic shotgun is designed with heavy hitting ordnance, an added stock, and fancier magazine."
Mudskipper,5,epic,Weapon,Long,No,Rifle,23.18,5.56,0.45,0.49,2.27 kg,mudskipper,A common weapon among armies of all sorts and mercenaries alike. Reliable and straightforward.
The Eviscerator 3000,4,epic,Weapon,Long,No,Rifle,12.05,7.98,4.02,0.23,14.30 kg,the-eviscerator-3000,A deadly weapon that fires extremely high velocity projectiles and the result of many cycles worth of R&D into dealing death with maximum efficiency.
Ajax Systems Flame Dispenser,1,epic,Weapon,Short,No,Short Barrel Rifle,0,0,5.39,0.24,2.56 kg,ajax-systems-flame-dispenser,A military grade flamethrower developed by Ajax Arms and Armor.
Nickle Tekko,1,epic,Weapon,Short,Yes,Club,0,0,5.9,0.094,0.36 kg,nickle-tekko,"This set of knuckles features no finger dividers, allowing the wearer to easily grip and swing."
Shank,1,common,Weapon,Short,Yes,Blade,2,0,0,0.1,0.30 kg,shank,A crude stabbing weapon fashioned from a small piece of sharpened metal.
OfficerC2,1,common,Weapon,Short,No,Short Barrel Rifle,0,0,2.23,0.054,2.10 kg,officerc2,"Easily located In the possession of most Consortium officials in the Sol System, the OfficerC2 is favored for its energy projectiles."
Nail Cudgel,1,uncommon,Weapon,Short,Yes,Blade,3.02,0,0,0.104,1.54 kg,nail-cudgel,A club with shuttle nails drilled through its end.
Molybdenum Baston,2,common,Weapon,Short,Yes,Club,0,0,7.74,0.137,1.00 kg,molybdenum-baston,"Long, thin striking cane."
Katana: Trailblazing Blazers,5,epic,Weapon,Short,Yes,Blade,3.43,0.27,26.53,0.31,6.32 kg,katana-trailblazing-blazers,A combination melee/energy sword and part of a range built for durability on the frontiers of civilised space.
Black Piercer: Semi-Auto Boomshot Deluxe,3,common,Weapon,Long,No,Shotgun,4.69,4.6,4.63,0.41,3.51 kg,black-piercer-semi-auto-boomshot-deluxe,A fairly common weapon among the Freebooters of the Apples of Discord. This semi-automatic shotgun is designed with explosive ordnance and an added stock.
Pirate's Penance Combat Shotgun Deluxe,3,common,Weapon,Long,No,Shotgun,13.38,0,0,0.24,5.04 kg,pirates-penance-combat-shotgun-deluxe,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
X45 Hand Cannon,4,common,Weapon,Short,No,Handgun,0,4.22,13.89,0.51,0.94 kg,x45-hand-cannon,A sleek looking blaster marketed towards professional peacekeepers.
Carbon Mace,1,uncommon,Weapon,Short,Yes,Club,0,0,4.11,0.04,0.34 kg,carbon-mace,"A mace made of carbon, this weapon is designed to stun on impact. Also known as the Freebooter's Anesthesiologist."
DisturbanceC11,2,common,Weapon,Short,No,Handgun,0,0,7.52,0.127,0.92 kg,disturbancec11,"A common sidearm of Consortium Jump Gate personnel. With a potent electrical charge, it is often used to subdue and disarm an aggressor."
Sniper Rifle: Jade Reaper Range,2,epic,Weapon,Long,No,Sniper Rifle,9.17,5.63,0.37,0.69,8.86 kg,sniper-rifle-jade-reaper-range,A Sniper Rifle from a specially commissioned range of weapons for a mercenary group.
G-SAG1E,3,rare,Weapon,Long,No,Shotgun,0,0,11.15,0.147,3.30 kg,g-sag1e,Energy equipped shotgun used by SAG operatives during extraction missions.
Ice Maven’s Marvel,3,common,Weapon,Long,No,Sniper Rifle,0,8.99,5.25,0.231,12.90 kg,ice-mavens-marvel,"This light blue sniper rifle is said to have been a special gift custom order, but no one seems to know who the Ice Maven is. With it, you have impact and energy damage to dole out. Guess you’re the Ice Maven now."
CarbonXI,4,epic,Weapon,Short,Yes,Club,4,16,4,0.188,1.20 kg,carbonxi,A distinctive black club created to inflict maximum damage.
Caracal's Pounce,3,common,Weapon,Long,No,Rifle,4.31,4.19,4.3,0.37,2.91 kg,caracals-pounce,"A sleek blaster rifle of complex and lethal design. Allegedly developed for combat by the secretive Caracals of the House of Congo. These guns are rare and, usually, one only gets a single look at them."
Muai Cad Chuke,2,common,Weapon,Short,Yes,Club,0,0,6.62,0.155,0.20 kg,muai-cad-chuke,Traditional steel-woven cord for the cord-wrap technique often used to settle internal Kyarr disputes. The cord is wrapped around the knuckles until the wearer feels comfortable to engage their opponent.
Jury Rigged Nunchaku,1,epic,Weapon,Short,Yes,Club,0,8.87,0,0.12,4.49 kg,jury-rigged-nunchaku,Someone with a penchant for ancient terran weaponry painstakingly recreated a very serviceable and painful looking pair of Nunchaku.
Cudgel,2,uncommon,Weapon,Short,Yes,Club,0,0,9.78,0.091,1.50 kg,cudgel,"A blunt club used for bludgeoning, this weapon is made of hard recycled resins."
Bodyguard's Tongs,3,common,Weapon,Short,Yes,Blade,9.71,0,4.84,0.36,0.56 kg,bodyguards-tongs,A sleek and deadly looking combat blade manufactured by HWT. Twin blades interlock with an energy conduit that seeks to add a little sizzle to your slice.
Vera,1,uncommon,Weapon,Long,No,Rifle,0,3.5,0,0.06,10.00 kg,vera,A powerful combat rifle. Guaranteed to be your very favorite gun.
Rhenium Blackjack,2,common,Weapon,Short,Yes,Club,0,0,8.52,0.112,2.00 kg,rhenium-blackjack,A simple blackjack.
Iridium Mace,3,rare,Weapon,Short,Yes,Club,0,10.76,0,0.235,2.90 kg,iridium-mace,This silvery white mace shines with a unique reaction to light. Has convex protrusions to maximize blunt force damage.
X35 Wasp,5,epic,Weapon,Long,No,Shotgun,31.34,0,0,0.24,4.22 kg,x35-wasp,A sleek and deadly design so branded due to the almost buzzing sound that accompanies its rapid fire projectiles.
Old Shotgun,2,common,Weapon,Long,No,Shotgun,0,5.72,0,0.069,3.30 kg,old-shotgun,A simple shotgun recovered from the ruins. Hard to discern its age due to damage.
Freebooter's Krull,4,epic,Weapon,Short,Yes,Blade,10.65,0.45,13.12,0.35,2.90 kg,freebooters-krull,A crude but strange looking weapon with a stranger name. The Freebooter's Krull is a simple but effective marriage of two shankers and a lot of potential pain.
Pole Pike,1,common,Weapon,Short,Yes,Blade,3.01,0,0,0.082,1.81 kg,pole-pike,A homemade pole with sharpened end for thrusting and stabbing.
The Bronze Bodyguard: Blaster Collection,3,common,Weapon,Short,No,Handgun,4.69,4.76,4.71,0.03,1.50 kg,the-bronze-bodyguard-blaster-collection,"A short and sleek, burst type blaster developed by HWT. Fires energy based ordnance that leave no pesky physical ammo to trace back."
HWT Tactical Boomstick,4,common,Weapon,Long,No,Shotgun,16.56,2.07,0,0.25,9.52 kg,hwt-tactical-boomstick,A well designed shotgun built to pack a punch and marketed towards pilots and smugglers.
Skull Mallet,2,common,Weapon,Short,Yes,Club,0,0,7,0.134,1.81 kg,skull-mallet,Made of Molybdenum and specifically designed to crush bone. Common on Moissan Station.
D10-XO,1,epic,Weapon,Long,No,Rifle,1,1,4,0.182,1.50 kg,d10-xo,"A rugged, industrial weapon, the D10-XO is powerful and expertly engineered by HWT."
One Life Kaiken,2,common,Weapon,Short,Yes,Blade,6,0,0,0.093,0.99 kg,one-life-kaiken,Yasutsuna Corp forged this modest short blade as a custom request from Minos and The Peerage of Daedalus.
K.R.O.M,3,uncommon,Weapon,Long,No,Rifle,0,15,0,0.23,1.44 kg,krom,The Kinetic Ordnance: Oscillating Magazine is a rifle developed by a Scientist Schismatic from Heinlein Stronghold as a quick commision to finance a side project. The scientist in question also handled the branding itself...
Scattergun: Jade Reaper Range,1,epic,Weapon,Long,No,Shotgun,0.94,6.83,0,0.12,1.94 kg,scattergun-jade-reaper-range,A shotgun from a specially commissioned range of weapons for a mercenary group.
Tactical Shotgun: Jade Reaper Range,2,epic,Weapon,Long,No,Shotgun,6.06,6.19,0,0.13,6.96 kg,tactical-shotgun-jade-reaper-range,A sleek and deadly looking energy rifle from a specially commissioned range of weapons for a mercenary group.
Bullet Burster Series Short Barrel Rifle,2,epic,Weapon,Short,No,Short Barrel Rifle,0,11.37,0.52,0.14,2.41 kg,bullet-burster-series-short-barrel-rifle,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Red Dwarf,1,uncommon,Weapon,Short,No,Short Barrel Rifle,0,0,3.89,0.112,2.60 kg,red-dwarf,"The Red Dwarf is a short barrel rifle that caused some trouble for its manufacture, the Independent House of Spartacus: flame rounds tend to cause some problems in tight-quartered stations, so the manufacturer discontinued the product."
Kyarr Moon,1,epic,Weapon,Short,Yes,Blade,6.31,0,0,0.136,0.92 kg,kyarr-moon,"A custom created dagger for the Kyarr, shimmers of obsidian."
GuardC2,2,common,Weapon,Long,No,Sniper Rifle,0,0,6.45,0.218,12.20 kg,guardc2,A sniper rifle used by tower guards of large prisons. Equipped with energy rounds.
Protectorate Dao,2,common,Weapon,Short,Yes,Blade,8.73,0,0,0.108,2.10 kg,protectorate-dao,A fine officer’s sword of the saber fashion. Crafted by Yasutsuna Corp.
First Mate’s Input,2,uncommon,Weapon,Long,No,Rifle,0,9.33,0,0.185,3.30 kg,first-mates-input,"The firearm of a mutinous combatant.  The gun metal stinks of ambition, treachery, and bloodshed."
Longsword,2,common,Weapon,Short,Yes,Blade,3.5,2,0,0.07,1.20 kg,longsword,A double-edged blade several feet in length with a hilt and crossguard.
G-009,1,common,Weapon,Short,No,Short Barrel Rifle,0,1.83,0,0.11,2.00 kg,g-009,A discontinued and outdated short barrel rifle that had once been the Gaule Protectorate soldier’s quick-fire weapon of choice.
Deep Burn,2,common,Weapon,Long,No,Shotgun,0,0,5.98,0.031,3.20 kg,deep-burn,A rudimentary flamethrower that is anything but efficient.
Rhenium Club,2,common,Weapon,Short,Yes,Club,0,0,8.62,0.117,2.90 kg,rhenium-club,A basic club.
Clockwork Cactus,3,epic,Weapon,Short,Yes,Blade,11,4,3.2,0.282,2.90 kg,clockwork-cactus,"This exquisite knife has a blue tinted blade and an artistically finished hilt. As part of Yasutsuna Corp’s line of luxury weapons, the Clockwork Cactus keeps you sharp, and looks great doing it."
Staff of Minos,1,rare,Weapon,Short,Yes,Club,0,0,4.32,0.155,1.67 kg,staff-of-minos,A specially crafted quarter-staff walking stick to celebrate the ascension of Minos. A souvenir of the event. A prized item of any true One believer.
Jaded Sinicism Series Sniper Rifle,3,rare,Weapon,Long,No,Sniper Rifle,5.33,5.41,5.38,0.69,9.91 kg,jaded-sinicism-series-sniper-rifle,"Marketed towards rich and flashy freebooters by Ajax Arms and Armors, a hologramatic tagline trying very hard to sound obscure reads: Death drifts like a single emerald leaf, falling gently through the moistened air of a bio-dome."
G-007E,1,uncommon,Weapon,Short,No,Short Barrel Rifle,0,0,3.45,0.052,2.50 kg,g-007e,"Able to subdue a room of hostiles, the Gaule Protectorate equip the new recruits of the Marine Nationale each with a G-007E."
Simple Manriki,2,common,Weapon,Short,Yes,Club,0,5.55,0,0.074,0.46 kg,simple-manriki,"A length of chain, weighted at both ends, for use in combat."
Needler Class Hand Cannon,1,epic,Weapon,Short,No,Handgun,5.12,0.45,0.24,0.02,0.48 kg,needler-class-hand-cannon,"A weapon designed by House of Spartacus weapons marketing divisions and aimed at elite clientele. Even the deadly, armor piercing ordnance, for some reason, has been dyed a sleek and pleasant purple color."
Taungoo Vajra,2,rare,Weapon,Short,Yes,Club,0,0,5.32,0.121,2.72 kg,taungoo-vajra,"This hand-club is often in the possession of the Kyarr bodyguards of the Taungoo Administration. The ribbed, round head is made of diamond. The Vajra is a status symbol, as well as a warning to aggressors."
Small Pylon Brace,1,common,Weapon,Short,Yes,Club,0,1.51,0,0.034,1.20 kg,small-pylon-brace,This small pylon base was once used in the construction of a building. The building is long gone.
Golden Sunset Series Blaster,1,epic,Weapon,Short,No,Handgun,3.07,0,2.81,0.12,1.98 kg,golden-sunset-series-blaster,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Black Piercer: Semi-Auto Series Deluxe,3,common,Weapon,Short,No,Short Barrel Rifle,0,0,13.67,0.21,1.78 kg,black-piercer-semi-auto-series-deluxe,A fairly common weapon among the Freebooters of the Apples of Discord. This semi-automatic blaster is designed with explosive ordnance and an added stock.
Primitive Tonfa,1,common,Weapon,Short,Yes,Club,0,1.69,0,0.09,1.20 kg,primitive-tonfa,A worn and rusty Tonfa.
Crude Manriki,1,common,Weapon,Short,Yes,Club,0,1.21,0,0.5,0.56 kg,crude-manriki,A makeshift chain weapon with weights attached to both ends for swinging and hitting.
Worn Carbon Nunchaku,1,common,Weapon,Short,Yes,Club,0,2.76,0,0.069,0.23 kg,worn-carbon-nunchaku,"Two lengths of aged carbon connected by six small links of chain, someone used these to near ruin."
Security Katana,2,common,Weapon,Short,Yes,Blade,8.35,0,0,0.034,1.08 kg,security-katana,A longsword used by upper-level security personnel of Jump Gates.
Big Top,2,uncommon,Weapon,Long,No,Shotgun,0,9.34,0,0.066,3.30 kg,big-top,This big bad shotgun is loud and demands attention.
